time,date,symbol,volume,adjprice,oil,gold,sp500,vix,rates_10y
2135,2018-06-26,XOM,10382800,56.69295120239258,70.52999877929688,1256.5999755859375,2723.06005859375,15.920000076293944,2.880000114440918
2136,2018-06-27,XOM,12725900,57.44519805908203,72.76000213623047,1252.800048828125,2699.6298828125,17.90999984741211,2.82699990272522
2137,2018-06-28,XOM,9390700,57.62798690795898,73.44999694824219,1247.800048828125,2716.31005859375,16.850000381469727,2.8469998836517334
2138,2018-06-29,XOM,17323200,58.16228866577149,74.1500015258789,1251.300048828125,2718.3701171875,16.09000015258789,2.8489999771118164
2139,2018-07-02,XOM,9998300,57.4803466796875,73.94000244140625,1239.800048828125,2726.7099609375,15.600000381469728,2.865999937057495
2140,2018-07-03,XOM,7197300,57.81781768798828,74.13999938964844,1251.5999755859375,2713.219970703125,16.139999389648438,2.838000059127808
2141,2018-07-05,XOM,9035700,57.86702728271485,72.94000244140625,1257.300048828125,2736.610107421875,14.970000267028809,2.8399999141693115
2142,2018-07-06,XOM,7637100,57.8810920715332,73.80000305175781,1254.300048828125,2759.820068359375,13.369999885559082,2.8310000896453857
2143,2018-07-09,XOM,7158600,58.281829833984375,73.8499984741211,1258.0999755859375,2784.169921875,12.6899995803833,2.859999895095825
2144,2018-07-10,XOM,8806200,58.816139221191406,74.11000061035156,1253.800048828125,2793.840087890625,12.640000343322754,2.872999906539917
2145,2018-07-11,XOM,10405300,58.06389236450195,70.37999725341797,1242.800048828125,2774.02001953125,13.630000114440918,2.8420000076293945
2146,2018-07-12,XOM,9762200,58.13417434692383,70.33000183105469,1245.0,2798.2900390625,12.579999923706056,2.8529999256134038
2147,2018-07-13,XOM,8720000,58.5700569152832,71.01000213623047,1239.5999755859375,2801.31005859375,12.18000030517578,2.8310000896453857
2148,2018-07-16,XOM,8306900,57.99358367919922,68.05999755859375,1238.0999755859375,2798.429931640625,12.829999923706056,2.8580000400543213
2149,2018-07-17,XOM,7373300,57.86702728271485,68.08000183105469,1225.699951171875,2809.550048828125,12.0600004196167,2.864000082015991
2150,2018-07-18,XOM,8711900,57.80376434326172,68.76000213623047,1226.300048828125,2815.6201171875,12.100000381469728,2.875
2151,2018-07-19,XOM,8659100,57.656131744384766,69.45999908447266,1222.4000244140625,2804.489990234375,12.869999885559082,2.8469998836517334
2152,2018-07-20,XOM,9196300,57.22725296020508,70.45999908447266,1229.5,2801.830078125,12.859999656677246,2.8949999809265137
2153,2018-07-23,XOM,8425900,57.22725296020508,67.88999938964844,1224.0,2806.97998046875,12.619999885559082,2.9649999141693115
2154,2018-07-24,XOM,11121000,58.359161376953125,68.5199966430664,1223.9000244140625,2820.39990234375,12.40999984741211,2.9489998817443848
2155,2018-07-25,XOM,9523600,58.76690673828125,69.30000305175781,1231.4000244140625,2846.070068359375,12.289999961853027,2.936000108718872
2156,2018-07-26,XOM,13210100,59.22389221191406,69.61000061035156,1225.300048828125,2837.43994140625,12.140000343322754,2.9749999046325684
2157,2018-07-27,XOM,18220800,57.59283065795898,68.69000244140625,1222.5999755859375,2818.820068359375,13.029999732971191,2.9600000381469727
