date,volume,adjprice,oil,gold,sp500,vix,rates_10y
2018-09-19,21728400.0,103.82521057128906,71.12000274658203,1202.199951171875,2907.949951171875,11.75,3.0829999446868896
2018-09-20,23714500.0,105.56336212158205,70.80000305175781,1206.199951171875,2930.75,11.800000190734863,3.078000068664551
2018-09-21,71229700.0,106.20474243164062,70.77999877929688,1196.199951171875,2929.669921875,11.68000030517578,3.068000078201294
2018-09-24,27334500.0,106.58584594726562,72.08000183105469,1199.300048828125,2919.3701171875,12.199999809265137,3.078000068664551
2018-09-25,22668000.0,106.38136291503906,72.27999877929688,1200.0,2915.56005859375,12.420000076293944,3.101999998092652
2018-09-26,19352000.0,105.94446563720705,71.56999969482422,1194.0,2905.969970703125,12.890000343322754,3.061000108718872
2018-09-27,19091300.0,106.34417724609376,72.12000274658203,1182.300048828125,2914.0,12.40999984741211,3.055999994277954
2018-09-28,21647800.0,106.30699920654295,73.25,1191.5,2913.97998046875,12.119999885559082,3.055999994277954
2018-10-01,18883100.0,107.45955657958984,75.30000305175781,1187.0999755859375,2924.590087890625,12.0,3.0799999237060547
2018-10-02,20787200.0,107.03199768066406,75.2300033569336,1202.4000244140625,2923.429931640625,12.050000190734863,3.055999994277954
2018-10-03,16648000.0,107.05059051513672,76.41000366210938,1198.300048828125,2925.510009765625,11.609999656677246,3.1610000133514404
2018-10-04,34821700.0,104.83837127685548,74.33000183105469,1197.199951171875,2901.610107421875,14.220000267028809,3.197000026702881
2018-10-05,29068900.0,104.22489166259766,74.33999633789062,1201.199951171875,2885.570068359375,14.81999969482422,3.2249999046325684
2018-10-08,29640600.0,103.0351333618164,74.29000091552734,1184.4000244140625,2884.429931640625,15.6899995803833,3.2330000400543213
2018-10-09,26198600.0,104.34574127197266,74.95999908447266,1187.199951171875,2880.340087890625,15.949999809265137,3.2079999446868896
2018-10-10,61376300.0,98.67578125,73.16999816894531,1189.300048828125,2785.679931640625,22.959999084472656,3.2249999046325684
2018-10-11,63904300.0,98.4434051513672,70.97000122070312,1223.5,2728.3701171875,24.979999542236328,3.132999897003174
2018-10-12,47742100.0,101.84538269042967,71.33999633789062,1218.0999755859375,2767.1298828125,21.309999465942383,3.1410000324249268
